order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,food_preparation_time,delivery_time,is_takeaway,distance,GST,rating
1476995,371590,The Meatball Shop,Italian,656.4,Weekday,24,27,TRUE,6.08,32.82,3
1476844,175290,Otto Enoteca Pizzeria,Italian,420.6,Weekend,24,16,FALSE,0,21.03,Not given
1477015,76686,Vezzo Thin Crust Pizza,Italian,275.1,Weekend,21,24,FALSE,0,13.755,Not given
1476889,149984,Sushi of Gari 46,Japanese,365.4,Weekday,20,29,FALSE,0,18.27,Not given
1478289,318874,The Kati Roll Company,Indian,939.9,Weekend,28,25,TRUE,2.67,46.995,3
1477699,302790,Klong,Thai,871.5,Weekend,35,24,FALSE,0,43.575,3
1476855,317794,5 Napkin Burger,American,251.7,Weekday,35,24,TRUE,1.31,12.585,Not given
1477748,105349,TAO,Japanese,273.6,Weekend,34,18,TRUE,12.61,13.68,Not given
1478244,181782,Parm,Italian,873,Weekend,30,26,TRUE,4.64,43.65,3
1478310,65224,Sushi Samba,Japanese,464.1,Weekend,32,26,TRUE,4.63,23.205,Not given
1478017,148649,Blue Ribbon Sushi,Japanese,480.3,Weekday,23,31,TRUE,14.39,24.015,2
1476871,118709,The Meatball Shop,Italian,729,Weekday,31,29,TRUE,10.59,36.45,2
1477999,208020,Haru Gramercy Park,Japanese,894.9,Weekday,20,32,TRUE,16.47,44.745,3
1476891,220693,Shake Shack,American,596.7,Weekend,27,19,TRUE,10.72,29.835,Not given
1477425,378482,Chipotle Mexican Grill $1.99 Delivery,Mexican,580.5,Weekend,21,18,TRUE,12.64,29.025,2
1478143,337525,TAO,Japanese,996.6,Weekend,23,19,TRUE,10.75,49.83,Not given
1477267,133637,RedFarm Broadway,Chinese,727.5,Weekend,22,15,TRUE,19.3,36.375,3
1477728,107909,Cafeteria,American,493.2,Weekend,33,22,TRUE,5.1,24.66,Not given
1476908,365237,Five Guys Burgers and Fries,American,682.5,Weekend,30,20,TRUE,9.35,34.125,3
1476581,322162,The Meatball Shop,Italian,202.2,Weekend,29,23,TRUE,3.08,10.11,3
1476930,198802,DuMont Burger,American,871.5,Weekend,22,30,FALSE,0,43.575,3
1477621,122864,Sarabeth's East,American,413.4,Weekend,34,24,TRUE,0.51,20.67,2
1478354,52037,Blue Ribbon Fried Chicken,American,596.7,Weekday,27,24,TRUE,0.56,29.835,Not given
1477251,81110,Hill Country Fried Chicken,Southern,507.9,Weekend,33,21,TRUE,6.61,25.395,3
1477656,300003,Bistango,Italian,656.4,Weekend,21,19,TRUE,11.18,32.82,Not given
1477883,91817,Blue Ribbon Fried Chicken,American,881.7,Weekend,27,28,FALSE,0,44.085,Not given
1477205,,TAO,Japanese,606.9,Weekend,22,20,TRUE,8.62,30.345,3
1478107,73895,RedFarm Broadway,Chinese,873,Weekend,22,23,TRUE,3.02,43.65,Not given
1477760,130507,Jack's Wife Freda,Mediterranean,682.5,Weekend,35,29,FALSE,0,34.125,1
1476562,129486,Mamoun's Falafel,Mediterranean,423.6,Weekend,31,15,FALSE,0,21.18,1
1477692,313340,Sushi of Gari 46,Japanese,438,Weekday,24,24,TRUE,1.08,21.9,3
1477889,177250,RedFarm Hudson,Chinese,366.9,Weekday,25,33,TRUE,18.32,18.345,3
1477243,176234,Prosperity Dumpling,Chinese,420.6,Weekend,20,30,TRUE,12.52,21.03,3
1477560,371677,Blue Ribbon Fried Chicken,American,203.7,Weekday,33,28,FALSE,0,10.185,Not given
1476896,388918,Blue Ribbon Fried Chicken,American,727.5,Weekend,28,21,FALSE,0,36.375,Not given
1478327,68551,Blue Ribbon Sushi Bar & Grill,Japanese,990.9,Weekend,33,20,TRUE,8.77,49.545,Not given
1476820,152786,Cafe Habana,Mexican,941.4,Weekend,23,27,TRUE,5.77,47.07,2
1478121,62980,Westville Hudson,American,250.2,Weekday,22,26,FALSE,0,12.51,Not given
1478077,82041,Shake Shack,American,990.9,Weekday,22,32,FALSE,0,49.545,Not given
1478359,361616,Blue Ribbon Brooklyn,American,726,Weekday,22,32,FALSE,0,36.3,3
1476841,398426,RedFarm Broadway,Chinese,373.8,Weekend,24,20,TRUE,9.04,18.69,2
1477125,130820,Nobu Next Door,Japanese,475.8,Weekend,29,23,TRUE,3.07,23.79,3
1477915,200074,Osteria Morini,Italian,436.5,Weekend,34,22,FALSE,0,21.825,Not given
1477475,65009,Blue Ribbon Fried Chicken,American,987.9,Weekend,24,23,FALSE,0,49.395,3
1477932,170221,Shake Shack,American,509.4,Weekend,22,21,FALSE,0,25.47,Not given
1476651,58092,Shake Shack,American,240,Weekend,27,23,TRUE,2.83,12,3
1477730,50616,Parm,Italian,391.5,Weekend,28,27,FALSE,0,19.575,Not given
1477518,133202,Sushi Samba,Japanese,871.5,Weekend,31,16,TRUE,17.19,43.575,3
1477821,277898,Haandi,Indian,170.1,Weekday,23,31,TRUE,14.48,8.505,2
1477104,77341,The Meatball Shop,Italian,507.9,Weekend,30,25,TRUE,2.1,25.395,Not given
1477921,97079,Benihana,Japanese,878.7,Weekend,20,18,TRUE,13.2,43.935,3
1477938,150002,The Kati Roll Company,Indian,484.5,Weekend,20,29,TRUE,10.68,24.225,3
1476943,87472,RedFarm Hudson,Chinese,682.5,Weekend,31,30,TRUE,12.21,34.125,Not given
1477581,231061,Han Dynasty,Chinese,400.2,Weekend,34,27,TRUE,6.3,20.01,2
1477975,56722,Shake Shack,American,292.5,Weekend,33,25,TRUE,2.02,14.625,3
1477601,107909,Cafeteria,American,200.7,Weekday,21,32,TRUE,15.94,10.035,2
1477790,133617,Shake Shack,American,142.5,Weekday,35,28,TRUE,8.52,7.125,2
1477385,67538,Chipotle Mexican Grill $1.99 Delivery,Mexican,376.8,Weekend,22,18,TRUE,12.65,18.84,3
1478423,129969,The Meatball Shop,Italian,636,Weekend,34,16,TRUE,17.15,31.8,Not given
1477051,57174,Tortaria,Mexican,579.3,Weekend,27,28,TRUE,7.81,28.965,Not given
1476796,78939,Nobu Next Door,Japanese,489,Weekday,20,24,TRUE,0.97,24.45,3
1478031,309513,Otto Enoteca Pizzeria,Italian,391.5,Weekday,33,27,TRUE,5.97,19.575,3
1477740,129798,TAO,Japanese,758.1,Weekday,24,24,TRUE,1.07,37.905,2
1478384,184085,Hill Country Fried Chicken,Southern,443.7,Weekend,35,15,FALSE,0,22.185,3
1478183,329710,Shake Shack,American,171.6,Weekday,31,24,TRUE,0.74,8.58,3
1477569,65009,Chote Nawab,Indian,484.5,Weekend,24,30,FALSE,0,24.225,3
1478211,154030,RedFarm Hudson,Chinese,990.9,Weekend,26,22,TRUE,4.82,49.545,2
1476635,86731,Mission Cantina,Mexican,486,Weekend,31,18,FALSE,0,24.3,3
1477646,306119,Xi'an Famous Foods,Chinese,276.6,Weekday,31,32,FALSE,0,13.83,Not given
1477027,164016,Blue Ribbon Fried Chicken,American,491.7,Weekend,27,22,TRUE,5.34,24.585,Not given
1476921,121476,Blue Ribbon Fried Chicken,American,365.4,Weekday,29,27,TRUE,6.24,18.27,3
1476689,305522,Shake Shack,American,726,Weekday,29,29,TRUE,10.14,36.3,2
1477767,68976,Sarabeth's East,American,510.9,Weekend,26,30,TRUE,12.72,25.545,3
1476582,60703,Cafe Habana,Mexican,203.7,Weekday,33,25,TRUE,2.39,10.185,Not given
1478169,80460,Rubirosa,Italian,654.9,Weekend,30,27,TRUE,6.36,32.745,3
1477702,128600,Blue Ribbon Fried Chicken,American,938.7,Weekday,22,33,TRUE,18.71,46.935,Not given
1477240,142356,Blue Ribbon Sushi,Japanese,354.9,Weekend,26,21,TRUE,6.97,17.745,2
1476564,83287,Five Guys Burgers and Fries,American,729,Weekend,30,20,TRUE,8.62,36.45,3
1478408,134152,The Meatball Shop,Italian,667.8,Weekend,28,25,TRUE,1.78,33.39,Not given
1477824,345899,TAO,Japanese,614.1,Weekend,26,30,TRUE,12.34,30.705,2
1477617,38050,Blue Ribbon Sushi,Japanese,365.4,Weekend,28,25,TRUE,1.81,18.27,3
1477978,259341,Joe's Shanghai _Àü£¾÷´,Chinese,474.3,Weekend,20,26,TRUE,4.59,23.715,3
1477281,309513,Otto Enoteca Pizzeria,Italian,670.8,Weekend,26,27,TRUE,6.4,33.54,3
1478223,234089,Blue Ribbon Sushi,Japanese,260.4,Weekend,34,27,FALSE,0,13.02,3
1477364,125123,Shake Shack,American,654.9,Weekend,23,22,TRUE,5.26,32.745,Not given
1476715,365244,Bareburger,American,489,Weekday,20,28,TRUE,7.76,24.45,Not given
1476654,63020,The Odeon,American,387,Weekday,31,28,TRUE,8.48,19.35,3
1477296,222879,Parm,Italian,874.5,Weekday,23,27,TRUE,6.65,43.725,3
1478321,275535,Pongsri Thai,Thai,391.5,Weekday,31,24,TRUE,1.07,19.575,2
1477942,49793,Yama Japanese Restaurant,Japanese,670.8,Weekend,30,16,TRUE,16.52,33.54,3
1477552,137565,Shake Shack,American,938.7,Weekday,26,32,TRUE,16.63,46.935,Not given
1476770,65009,Blue Ribbon Fried Chicken,American,235.8,Weekday,22,33,FALSE,0,11.79,2
1476558,214394,Yama Japanese Restaurant,Japanese,483,Weekend,33,27,FALSE,0,24.15,Not given
1477993,91907,Momoya,Japanese,509.4,Weekday,31,32,TRUE,16.31,25.47,3
1478072,82041,Osteria Morini,Italian,388.5,Weekend,26,28,FALSE,0,19.425,3
1476935,59419,Blue Ribbon Fried Chicken,American,350.7,Weekend,21,24,FALSE,0,17.535,3
1477255,50199,Five Guys Burgers and Fries,American,363.9,Weekend,26,15,FALSE,0,18.195,Not given
1477012,325210,The Meatball Shop,American,369.6,Weekend,31,19,TRUE,10.81,18.48,Not given
1477704,100999,Balthazar Boulangerie,French,363.9,Weekend,22,27,FALSE,0,18.195,Not given
1477188,146588,Sushi of Gari,Japanese,365.4,Weekday,25,24,FALSE,0,18.27,3
1478348,310051,Parm,Italian,449.7,Weekend,34,24,FALSE,0,22.485,Not given
1477405,128243,The Meatball Shop,Italian,202.2,Weekend,26,30,FALSE,0,10.11,3
1476826,53543,CafÌ© China,Chinese,729,Weekend,20,23,TRUE,2.84,36.45,Not given
1478340,230535,Shake Shack,American,311.4,Weekend,24,29,TRUE,10.66,15.57,3
1477044,127122,RedFarm Broadway,Chinese,203.7,Weekend,33,28,TRUE,8.18,10.185,3
1476978,177250,RedFarm Hudson,Chinese,758.1,Weekend,34,28,TRUE,7.72,37.905,Not given
1477287,111125,Otto Enoteca Pizzeria,Italian,449.7,Weekend,29,21,TRUE,7.18,22.485,Not given
1477110,144997,RedFarm Hudson,Chinese,871.5,Weekend,22,28,TRUE,8.64,43.575,2
1476555,97991,Blue Ribbon Sushi Bar & Grill,Japanese,289.5,Weekend,25,26,FALSE,0,14.475,Not given
1476862,58533,The Meatball Shop,Italian,876,Weekend,31,24,TRUE,0.7,43.8,Not given
1477117,104336,Nobu Next Door,Japanese,173.1,Weekday,29,24,TRUE,0.84,8.655,2
1478402,232582,CafÌ© China,Chinese,987.9,Weekday,26,28,TRUE,8.19,49.395,3
1477431,195927,Boqueria,Spanish,363.9,Weekend,30,20,TRUE,9.23,18.195,3
1477836,373689,Bareburger,American,362.4,Weekend,29,20,TRUE,9.02,18.12,Not given
1477376,370372,Blue Ribbon Fried Chicken,American,347.7,Weekday,25,24,TRUE,0.64,17.385,Not given
1476835,264707,TAO,Japanese,286.8,Weekend,21,17,TRUE,14.55,14.34,3
1477177,42385,Song Thai Restaurant & Bar,Thai,726,Weekend,21,26,FALSE,0,36.3,3
1478174,104555,Sushi of Gari,Japanese,880.2,Weekday,32,25,TRUE,2.23,44.01,Not given
1478269,250494,The Meatball Shop,Italian,334.8,Weekday,22,28,TRUE,7.75,16.74,3
1477369,139085,Shake Shack,American,727.5,Weekday,32,24,TRUE,0.45,36.375,Not given
1476969,198309,Blue Ribbon Sushi,Japanese,876,Weekend,22,25,TRUE,1.86,43.8,Not given
1477420,399478,Shake Shack,American,422.1,Weekend,25,28,TRUE,7.92,21.105,Not given
1476663,40010,Parm,Italian,580.5,Weekend,35,19,TRUE,10.58,29.025,2
1477904,48131,RedFarm Hudson,Chinese,483,Weekend,23,29,TRUE,10.59,24.15,2
1478219,41692,Shake Shack,American,684,Weekend,30,19,FALSE,0,34.2,Not given
1477206,61305,Blue Ribbon Sushi Bar & Grill,Japanese,456.9,Weekend,30,19,TRUE,10.75,22.845,Not given
1477337,123780,Five Guys Burgers and Fries,American,990.9,Weekend,29,25,FALSE,0,49.545,Not given
1476809,385248,Shake Shack,American,388.5,Weekend,27,18,TRUE,12.73,19.425,Not given
1477750,97806,Shake Shack,American,494.7,Weekend,32,22,TRUE,5.05,24.735,3
1476817,97079,Benihana,Japanese,871.5,Weekend,25,26,TRUE,4.06,43.575,Not given
1476659,52463,RedFarm Broadway,Chinese,939.9,Weekend,33,23,TRUE,2.55,46.995,3
1477609,105068,TAO,Japanese,480.3,Weekend,26,16,TRUE,16.99,24.015,Not given
1477616,128600,Tamarind TriBeCa,Indian,422.1,Weekend,26,21,TRUE,6.77,21.105,2
1476769,71791,Sushi of Gari 46,Japanese,264.9,Weekday,31,33,TRUE,18.02,13.245,Not given
1477185,362068,The Kati Roll Company,Indian,990.9,Weekend,35,21,TRUE,6.79,49.545,Not given
1477752,298824,Shake Shack,American,487.5,Weekday,30,24,TRUE,0.5,24.375,3
1477239,94524,The Meatball Shop,Italian,670.8,Weekend,28,18,TRUE,12.83,33.54,2
1476590,342107,The Kati Roll Company,Indian,504.9,Weekend,26,20,TRUE,8.89,25.245,2
1478305,62359,Rubirosa,Italian,240,Weekday,27,29,TRUE,10.51,12,2
1476751,347181,Blue Ribbon Sushi,Japanese,480.3,Weekend,29,22,TRUE,5.27,24.015,Not given
1477831,60052,RedFarm Broadway,Chinese,480.3,Weekday,23,27,TRUE,6.01,24.015,2
1477955,198936,Five Leaves,American,307.2,Weekday,22,25,FALSE,0,15.36,Not given
1476568,348787,Otto Enoteca Pizzeria,Italian,582,Weekday,32,28,TRUE,8.24,29.1,2
1478391,184325,Pinto Nouveau Thai Bistro,Thai,580.5,Weekend,34,24,FALSE,0,29.025,2
1476725,42935,Barbounia,Mediterranean,419.1,Weekend,29,25,FALSE,0,20.955,3
1476688,200672,Cafe Mogador,Middle Eastern,390,Weekend,21,15,TRUE,18.91,19.5,Not given
1477102,75484,Five Guys Burgers and Fries,American,391.5,Weekend,34,27,FALSE,0,19.575,Not given
1476878,378027,RedFarm Broadway,Chinese,254.7,Weekend,24,16,TRUE,16.65,12.735,Not given
1476805,93133,Parm,Italian,684,Weekday,33,33,TRUE,18.4,34.2,3
1478093,268958,Barbounia,Mediterranean,605.4,Weekend,29,19,FALSE,0,30.27,3
1478201,370017,RedFarm Broadway,Chinese,587.7,Weekend,24,19,TRUE,10.77,29.385,3
1478032,146586,Dirty Bird to Go,American,582,Weekend,25,19,FALSE,0,29.1,2
1476606,350085,The Meatball Shop,Italian,510.9,Weekday,22,29,TRUE,10.55,25.545,Not given
1477570,292343,Amy Ruth's,Southern,483.3,Weekend,30,26,TRUE,3.99,24.165,2
1476808,84700,Pepe Giallo,Italian,438,Weekday,32,24,TRUE,1.26,21.9,3
1476610,53212,TAO,Japanese,368.1,Weekday,26,29,FALSE,0,18.405,Not given
1476875,373353,indikitch,Indian,667.8,Weekend,35,16,TRUE,16.72,33.39,Not given
1476829,79255,The Meatball Shop,Italian,203.7,Weekend,26,15,FALSE,0,10.185,Not given
1477366,275689,Han Dynasty,Chinese,423.6,Weekend,35,19,TRUE,10.77,21.18,2
1477774,354719,The Meatball Shop,Italian,874.5,Weekend,34,20,TRUE,8.82,43.725,3
1477209,17495,Prosperity Dumpling,Chinese,365.4,Weekday,26,24,TRUE,0.49,18.27,Not given
1478334,352247,Chipotle Mexican Grill $1.99 Delivery,Mexican,756.6,Weekend,27,22,TRUE,5.17,37.83,2
1477872,300670,Shake Shack,American,401.7,Weekend,30,22,FALSE,0,20.085,Not given
1478417,87747,Blue Ribbon Fried Chicken,American,270.6,Weekend,31,15,TRUE,19.13,13.53,3
1477401,326426,Sushi of Gari,Japanese,874.5,Weekend,34,24,TRUE,0.8,43.725,Not given
1477764,131645,Yama 49,Japanese,390,Weekday,24,32,TRUE,16.66,19.5,3
1477835,129518,Blue Ribbon Fried Chicken,American,459.9,Weekday,24,29,TRUE,10.09,22.995,2
1476997,103005,Yama Japanese Restaurant,Japanese,436.5,Weekend,20,28,TRUE,7.79,21.825,3
1477519,140477,Momoya,Japanese,942.9,Weekend,24,17,TRUE,14.78,47.145,Not given
1477004,250494,Five Guys Burgers and Fries,American,990.9,Weekend,29,15,TRUE,18.51,49.545,3
1477536,105164,Piccolo Angolo,Italian,477.3,Weekend,26,26,TRUE,4.11,23.865,2
1478313,160957,Momoya,Japanese,365.4,Weekend,27,25,TRUE,2.23,18.27,2
1477290,361509,Shake Shack,American,580.5,Weekday,35,33,TRUE,18.23,29.025,Not given
1476648,169478,RedFarm Broadway,Chinese,580.5,Weekend,24,28,TRUE,8.17,29.025,Not given
1476657,91192,Hill Country Fried Chicken,Southern,880.5,Weekend,26,24,TRUE,1.33,44.025,2
1478089,134294,Shake Shack,American,458.4,Weekday,30,29,TRUE,10.21,22.92,2
1478026,365225,Pepe Rosso To Go,Italian,366.9,Weekday,24,24,TRUE,1.04,18.345,3
1477768,279895,Shake Shack,American,288,Weekday,35,28,TRUE,7.88,14.4,2
1477424,81110,Han Dynasty,Chinese,388.5,Weekend,20,25,TRUE,2.24,19.425,Not given
1478378,384391,Shake Shack,American,266.4,Weekend,27,23,TRUE,2.63,13.32,3
1477493,328357,Shake Shack,American,478.8,Weekend,30,21,FALSE,0,23.94,3
1478092,41318,Jack's Wife Freda,Mediterranean,464.1,Weekend,33,16,FALSE,0,23.205,3
1477150,92832,Five Guys Burgers and Fries,American,366.9,Weekend,22,22,FALSE,0,18.345,3
1478157,58871,Shake Shack,American,241.5,Weekday,25,27,FALSE,0,12.075,2
1478343,231042,Momoya,Japanese,256.2,Weekday,28,29,TRUE,9.97,12.81,2
1476860,336162,Nobu Next Door,Japanese,874.5,Weekday,28,25,TRUE,2.31,43.725,3
1477675,76907,Han Dynasty,Chinese,216.9,Weekend,21,18,TRUE,12.93,10.845,3
1476799,389740,L'Express,French,590.7,Weekend,26,17,TRUE,14.83,29.535,3
1476598,41168,Parm,Italian,363.9,Weekend,34,22,TRUE,4.54,18.195,3
1477277,59749,Bareburger,American,494.7,Weekday,31,27,FALSE,0,24.735,Not given
1476682,86731,Mission Cantina,Mexican,362.4,Weekend,30,18,TRUE,12.51,18.12,Not given
1477047,42832,5 Napkin Burger,American,278.1,Weekend,34,30,FALSE,0,13.905,Not given
1478173,91005,Han Dynasty,Chinese,727.5,Weekend,33,26,TRUE,3.95,36.375,3
1477528,128963,Han Dynasty,Chinese,170.1,Weekday,21,31,TRUE,14.17,8.505,2
1478426,124085,Blue Ribbon Sushi Bar & Grill,Japanese,423.6,Weekend,21,24,TRUE,0.7,21.18,3
1476696,231061,Han Dynasty,Chinese,990.9,Weekday,33,31,TRUE,14.36,49.545,Not given
1478189,105138,Han Dynasty,Chinese,269.1,Weekend,33,19,TRUE,10.79,13.455,2
1477532,95164,Amma,Indian,266.4,Weekday,27,24,TRUE,0.61,13.32,2
1477324,263426,Blue Ribbon Sushi Izakaya,Japanese,363.9,Weekday,30,29,TRUE,10.39,18.195,3
1476698,142461,Delicatessen,American,349.2,Weekend,27,27,FALSE,0,17.46,Not given
1478290,263199,Sushi of Gari 46,Japanese,942.9,Weekend,35,23,TRUE,3.03,47.145,2
1476919,387227,Blue Ribbon Sushi Bar & Grill,Japanese,394.5,Weekend,30,30,TRUE,12.09,19.725,3
1477247,385559,Blue Ribbon Fried Chicken,American,420.6,Weekend,20,28,TRUE,7.85,21.03,3
1477794,127149,Sarabeth's East,American,282.3,Weekend,25,16,TRUE,17.13,14.115,Not given
1477048,200074,Osteria Morini,Italian,272.1,Weekend,33,16,TRUE,17.24,13.605,Not given
1477615,136876,Rubirosa,Italian,422.1,Weekend,35,16,TRUE,17.42,21.105,3
1476566,103884,S'MAC,American,433.8,Weekend,34,17,TRUE,14.86,21.69,Not given
1477310,38612,Vanessa's Dumplings,Chinese,201,Weekend,20,17,TRUE,15.23,10.05,3
1477758,334619,Blue Ribbon Sushi Izakaya,Japanese,422.1,Weekday,24,26,TRUE,4.05,21.105,2
1477765,92996,Tamarind TriBeCa,Indian,583.5,Weekend,29,19,TRUE,10.63,29.175,2
1476753,195723,Cafe Habana,Mexican,419.1,Weekday,34,28,TRUE,8.57,20.955,3
1476759,268958,Sushi of Gari 46,Japanese,366.6,Weekend,24,20,TRUE,9.2,18.33,2
1477333,111356,Bhatti Indian Grill,Indian,877.5,Weekend,21,15,TRUE,18.45,43.875,3
1476830,361509,Cafeteria,American,510.9,Weekend,34,20,TRUE,8.55,25.545,Not given
1478227,367591,Taro Sushi,Japanese,481.5,Weekday,35,32,TRUE,16.7,24.075,3
1476789,103005,Yama Japanese Restaurant,Japanese,512.4,Weekend,28,15,TRUE,18.87,25.62,3
1477603,399121,Blue Ribbon Sushi,Japanese,339,Weekday,24,24,TRUE,0.63,16.95,Not given
1478246,260680,Delicatessen,American,989.4,Weekend,34,16,FALSE,0,49.47,3
1476931,124838,Hill Country Fried Chicken,Southern,874.5,Weekend,33,25,TRUE,2.2,43.725,3
1477029,295111,The Meatball Shop,Italian,390,Weekday,23,26,TRUE,4.59,19.5,3
1476849,42052,Pepe Rosso To Go,Italian,411.9,Weekend,21,28,TRUE,7.91,20.595,Not given
1478179,52832,Han Dynasty,Chinese,366.9,Weekend,33,27,TRUE,5.88,18.345,3
1477679,120833,Bareburger,American,487.5,Weekend,29,15,FALSE,0,24.375,Not given
1477810,94483,Bistango,Italian,726,Weekend,28,21,TRUE,6.82,36.3,Not given
1477342,49631,The Meatball Shop,Italian,429.3,Weekend,23,17,TRUE,14.85,21.465,Not given
1478133,114085,Blue Ribbon Sushi Bar & Grill,Japanese,582,Weekend,28,20,TRUE,9.16,29.1,Not given
1477756,251607,Shake Shack,American,423.6,Weekday,31,28,TRUE,8.05,21.18,Not given
1477721,72339,Donburi-ya,Japanese,441,Weekend,30,27,TRUE,6.05,22.05,Not given
1476952,229946,Balthazar Boulangerie,French,465.6,Weekend,21,29,TRUE,10.54,23.28,Not given
1477587,92726,Hatsuhana,Japanese,269.1,Weekend,25,26,TRUE,4.01,13.455,2
1478210,320493,Vanessa's Dumplings,Chinese,876,Weekday,27,30,TRUE,11.91,43.8,Not given
1477887,69348,RedFarm Broadway,Chinese,349.2,Weekend,26,21,TRUE,7.08,17.46,3
1478366,270149,Samurai Mama,Japanese,349.2,Weekend,21,18,TRUE,12.59,17.46,3
1478279,354016,Waverly Diner,American,582,Weekend,25,23,TRUE,2.92,29.1,3
1476819,104548,Tarallucci e Vino Restaurant,Italian,873,Weekday,28,33,TRUE,18.49,43.65,Not given
1477394,105754,Momoya,Japanese,420.6,Weekday,24,30,TRUE,12.54,21.03,2
1476667,157578,P.J. Clarke's,American,183.3,Weekend,27,25,FALSE,0,9.165,2
1476975,350373,Blue Ribbon Fried Chicken,American,366.9,Weekend,21,26,TRUE,4.62,18.345,2
1477909,47440,Blue Ribbon Fried Chicken,American,365.4,Weekend,31,23,TRUE,2.37,18.27,Not given
1476579,85633,The Meatball Shop,Italian,726,Weekend,24,24,TRUE,0.35,36.3,3
1477286,110091,The Meatball Shop,Italian,365.4,Weekend,27,17,TRUE,14.91,18.27,Not given
1478436,95164,Amma,Indian,510.9,Weekend,28,19,TRUE,10.66,25.545,Not given
1476685,96877,The Meatball Shop,Italian,667.8,Weekday,30,26,TRUE,4.61,33.39,2
1477912,261400,The Meatball Shop,Italian,583.5,Weekday,31,32,TRUE,16.22,29.175,3
1476892,177078,Lantern Thai Kitchen,Thai,657.9,Weekday,22,25,FALSE,0,32.895,Not given
1476882,68429,Shake Shack,American,472.8,Weekend,24,22,TRUE,4.76,23.64,3
1477314,52832,ilili Restaurant,Middle Eastern,283.8,Weekday,25,25,TRUE,1.88,14.19,2
1477712,373633,Yama 49,Japanese,378.3,Weekday,23,28,TRUE,8.23,18.915,3
1477057,390490,Blue Ribbon Brooklyn,American,685.5,Weekend,23,19,FALSE,0,34.275,3
1477926,72639,P.J. Clarke's,American,365.4,Weekend,22,28,FALSE,0,18.27,3
1477273,95644,RedFarm Broadway,Chinese,378.3,Weekday,26,27,TRUE,6.32,18.915,Not given
1478003,129597,Otto Enoteca Pizzeria,Italian,363.9,Weekend,33,21,TRUE,6.9,18.195,3
1477522,101084,RedFarm Hudson,Chinese,363.9,Weekend,20,22,TRUE,4.87,18.195,Not given
1476947,46859,The Meatball Shop,Italian,256.2,Weekday,24,29,TRUE,10.67,12.81,3
1478295,117810,Momoya,Japanese,580.5,Weekday,29,24,TRUE,0.89,29.025,Not given
1476551,49034,The Smile,American,365.4,Weekend,22,27,FALSE,0,18.27,Not given
1476846,82041,Parm,Italian,684,Weekend,35,20,TRUE,8.69,34.2,Not given
1476974,142461,Shake Shack,American,363.9,Weekend,32,15,FALSE,0,18.195,2
